@relation 'pacmanKeyboard-weka.filters.unsupervised.attribute.Remove-R1-2,11-18,31-34'

@attribute goWest {T,F}
@attribute goEast {T,F}
@attribute goNorth {T,F}
@attribute goSouth {T,F}
@attribute ghost1 {T,F}
@attribute ghost2 {T,F}
@attribute ghost3 {T,F}
@attribute ghost4 {T,F}
@attribute disttoghost1 {0,1,2,3}
@attribute disttoghost2 {0,1,2,3}
@attribute disttoghost3 {0,1,2,3}
@attribute disttoghost4 {0,1,2,3}
@attribute direction_ghost1 {West,Stop,East,North,South}
@attribute direction_ghost2 {West,Stop,East,North,South}
@attribute direction_ghost3 {West,Stop,East,North,South}
@attribute direction_ghost4 {West,Stop,East,North,South}
@attribute best_dir_to_g1 {West,East,North,South,None}
@attribute best_dir_to_g2 {West,East,North,South,None}
@attribute best_dir_to_g3 {West,East,North,South,None}
@attribute best_dir_to_g4 {West,East,North,South,None}
@attribute direction {West,East,North,South}

@data
F,T,T,T,T,F,F,T,0,2,3,1,East,Stop,Stop,West,South,None,None,East,South
T,T,T,T,T,F,F,T,0,2,3,1,South,Stop,Stop,West,West,None,None,East,West
T,T,F,T,T,F,F,T,0,2,3,1,West,Stop,Stop,West,West,None,None,East,West
T,T,F,T,T,F,F,T,0,2,3,1,East,Stop,Stop,West,South,None,None,East,South
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,West,None,None,None,North,West
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,West,None,None,None,North,East
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,East,None,None,None,North,East
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,West,None,None,None,North,East
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,East,None,None,None,North,North
T,T,F,F,T,T,T,T,0,2,1,3,Stop,Stop,Stop,Stop,West,East,East,East,East
T,T,F,F,T,T,T,T,0,2,1,3,Stop,Stop,Stop,Stop,West,East,East,East,East
T,T,F,F,T,T,T,T,0,2,1,3,Stop,Stop,Stop,Stop,West,East,East,East,East
T,F,T,F,T,T,T,T,0,2,1,3,Stop,Stop,Stop,Stop,North,North,North,North,North
F,F,T,T,T,T,T,T,0,2,1,3,Stop,Stop,Stop,Stop,North,North,North,North,North
T,T,T,T,T,T,T,T,0,2,1,3,Stop,Stop,Stop,Stop,West,North,North,North,North
F,F,T,T,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,South,North,North,North,North
F,T,T,T,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,South,North,North,North,North
F,F,T,T,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,South,North,North,North,North
T,T,T,T,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,West,West,West,East,East
T,T,F,F,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,East,East
T,T,T,F,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,North,North
F,F,T,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,South,South,South,North,North
F,T,F,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,South,South,South,East,East
T,T,F,F,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,East,East
T,T,F,F,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,East,East
T,F,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
F,T,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,South,South,South,None,South
F,F,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,South,South,South,None,South
T,T,T,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,South,None,West
T,T,F,T,T,T,T,F,2,0,1,3,Stop,Stop,Stop,Stop,West,South,East,None,South
F,T,T,T,T,T,T,F,2,0,1,3,Stop,Stop,Stop,Stop,North,South,East,None,South
T,T,T,F,T,T,T,F,2,0,1,3,Stop,Stop,Stop,Stop,North,West,East,None,West
T,T,F,F,T,T,T,T,0,1,2,3,North,East,East,South,West,East,East,East,East
T,T,F,F,T,T,T,T,0,1,2,3,West,East,East,North,West,East,East,East,East
T,T,F,F,T,T,T,T,2,1,0,3,West,East,West,West,West,East,East,East,East
T,F,T,F,T,T,T,T,3,0,1,2,East,West,West,East,North,North,North,North,North
F,F,T,T,T,T,T,T,2,0,1,3,East,West,West,West,North,North,North,North,North
T,T,T,T,T,T,T,T,3,1,0,2,East,West,North,West,West,North,North,North,East
T,T,F,F,T,T,T,T,3,2,0,1,West,West,South,West,West,West,West,East,East
T,T,F,T,T,T,T,T,3,2,1,0,South,West,North,South,West,West,West,East,East
T,F,T,F,T,T,T,T,3,1,2,0,South,North,South,South,West,North,North,North,North
F,F,T,T,T,T,T,T,3,1,2,0,East,East,North,East,South,North,North,North,North
T,T,T,T,T,T,T,T,3,2,1,0,East,South,North,East,West,North,North,North,North
F,F,T,T,T,T,T,T,3,2,1,0,East,South,East,East,South,North,North,North,North
T,F,F,T,T,T,T,F,2,1,0,3,East,West,West,Stop,West,West,West,None,West
T,T,T,F,T,T,T,F,2,1,0,3,East,West,East,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,East,North,East,Stop,West,West,West,None,West
T,T,T,T,T,T,T,F,2,1,0,3,West,North,East,East,South,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,West,North,East,East,East,West,West,None,West
T,T,F,F,T,T,F,F,1,0,2,3,East,South,East,East,East,West,None,None,West
T,T,F,T,T,T,F,F,1,0,2,3,West,North,East,West,West,West,None,None,South
T,F,T,T,T,T,F,F,1,0,2,3,West,South,East,East,North,West,None,None,West
F,T,T,T,T,F,F,F,0,1,2,3,East,Stop,East,West,North,None,None,None,West
F,T,T,T,T,F,F,F,0,1,2,3,East,East,East,East,North,None,None,None,North
T,T,F,T,T,F,F,F,0,1,2,3,West,North,West,West,West,None,None,None,West
T,T,F,F,T,F,F,F,0,1,2,3,West,North,West,West,West,None,None,None,West
T,T,F,F,T,F,F,F,0,1,2,3,West,South,East,East,West,None,None,None,West
T,T,T,T,T,F,F,F,0,1,2,3,East,North,East,East,South,None,None,None,South
F,F,T,T,T,F,F,F,0,1,2,3,West,West,East,East,South,None,None,None,South
T,T,F,F,T,T,T,T,3,0,1,2,East,West,East,South,West,East,East,East,East
T,T,F,F,T,T,T,T,3,2,0,1,East,West,West,North,West,East,East,East,East
T,T,F,F,T,T,T,T,3,1,0,2,East,West,West,South,West,East,East,East,East
T,T,T,F,T,T,T,T,3,1,2,0,West,West,West,South,North,North,North,East,East
T,T,F,F,T,T,T,T,3,1,2,0,West,East,West,North,West,West,West,East,East
T,T,T,F,T,T,T,T,3,1,2,0,East,East,East,North,West,West,West,East,East
T,T,F,F,T,T,T,T,3,1,2,0,West,East,West,North,West,West,West,East,East
T,T,F,F,T,T,T,T,3,1,2,0,South,East,West,South,West,West,West,East,East
T,F,T,F,T,T,T,T,3,1,2,0,South,West,West,South,West,West,West,North,North
F,F,T,T,T,T,T,T,3,1,2,0,North,West,West,North,South,South,South,North,North
F,F,T,T,T,T,T,T,3,1,2,0,North,West,West,South,North,North,North,North,North
F,F,T,T,T,T,T,F,2,1,0,3,East,West,East,Stop,North,North,North,None,North
T,F,F,T,T,T,T,F,2,1,0,3,East,West,East,West,West,West,West,None,West
T,T,F,F,T,T,T,F,2,0,1,3,East,West,West,East,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,East,West,East,West,West,West,West,None,West
T,T,F,T,T,T,T,F,2,1,0,3,East,West,South,East,West,West,West,None,West
T,T,F,T,T,T,T,F,2,1,0,3,East,West,East,East,West,West,West,None,South
T,T,T,F,T,T,T,F,2,1,0,3,West,East,West,West,West,West,West,None,South
T,T,T,F,T,T,T,F,2,1,0,3,West,South,South,North,West,West,West,None,West
F,T,T,T,T,T,T,F,2,1,0,3,East,North,West,North,South,South,South,None,South
T,F,T,T,T,T,T,F,2,0,1,3,East,East,West,North,West,West,West,None,West
T,T,F,F,T,T,T,F,2,0,1,3,West,South,West,East,West,West,West,None,West
T,T,F,F,T,T,T,F,2,0,1,3,East,South,North,East,West,West,West,None,West
